baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENDOU,2.02619687518908,-1.92554965962372,0.825595053461949,-2.33231734074636,0.0196840029449667,NA
EVA1A,4.28381902355761,-2.27452180702706,0.842609828589741,-2.69937725605917,0.00694693767101242,NA
EXOC7,44.7227431237349,0.511345748259784,0.169702083194391,3.01319664811685,0.00258511345450233,0.732382527148621
F2,1.71652767533954,-2.52914032603167,1.05797465526267,-2.39054906792994,0.0168232009891207,NA
FADS1,14.1490846009361,-0.958338277103882,0.377303150662113,-2.53996892266109,0.0110862319262108,0.999483955276918
FAM124A,12.1252486794208,-1.45333515735738,0.539473748806655,-2.69398679837942,0.00706029611127155,0.999483955276918
FAM189B,4.96789456613828,-1.42181171934087,0.568613060983136,-2.50049078521438,0.0124021359416059,NA
FAM238C,6.75267115262816,-2.12592083711256,0.626247663504232,-3.39469663681739,0.000687046825963989,NA
FAM47C,4.2795903883376,-2.67731201493135,0.905553916444058,-2.95654622691562,0.00311105593030773,NA
FAM86HP,3.02754560404044,-1.84252392158871,0.719444391768856,-2.56103729860011,0.0104360151403091,NA
FAM98B,31.6698195202845,-0.571249530249931,0.242837103837397,-2.35239805294515,0.0186528020929367,0.999483955276918
FBXL19-AS1,5.36186512289218,-1.56418672797734,0.618934146836701,-2.52722641976002,0.011496735690869,NA
FBXO28,44.8163953665157,-0.62230151357654,0.255807031747889,-2.43269901270677,0.0149867531047244,0.999483955276918
FBXO42,34.8511044835959,-0.538239551719545,0.225459118375682,-2.38730442839166,0.0169724303935263,0.999483955276918
FBXW8,10.8527231330674,-1.27659680538252,0.374837822816769,-3.40573103266198,0.000659871546019867,0.405051150665195
FFAR3,2.44386717326214,-4.12594183093415,1.29995364472203,-3.17391458355916,0.00150397943414158,NA
FKBP15,46.7522739039363,-0.704649129921307,0.267916679507074,-2.63010549107191,0.00853583764852993,0.999483955276918
FKBP4,24.9738581789441,-0.787767422045978,0.282452840305845,-2.78902283720344,0.00528673369517139,0.973552009965811
FLJ20021,3.3099365101249,-1.95216112125219,0.72547422880278,-2.69087590399145,0.00712646983259079,NA
FLJ40288,4.31451121907055,-2.21686054178459,0.877994228836185,-2.52491470783712,0.0115726372495445,NA
FNDC4,1.84762637407139,-2.85165416933135,1.18516322141154,-2.40612779557486,0.0161226236718869,NA
GCSH,11.6818319807285,-1.12977356691477,0.383799792723632,-2.9436534055877,0.00324363026232721,0.79471197219052
GIMAP6,92.7721267411544,0.57200617887839,0.201669220346346,2.83635835898026,0.00456312135768072,0.900320140732397
GIMAP8,38.8364453222703,0.547668794434406,0.197515711589949,2.77278597244654,0.00555786615811231,0.974743860015602
GNA12,8.93230320866992,-1.21558322437456,0.467752990737814,-2.59877167745554,0.00935579791397584,0.999483955276918
GNB4,19.5053859091835,-1.24786320092968,0.402673506830962,-3.0989453732637,0.0019421082506644,0.681756064929876
GNG11,5.72170735199467,-1.84206269494999,0.739341191260373,-2.4914920428142,0.0127207816448006,NA
GOLGA6A,1.24738552297359,3.46211020793283,1.48460041607424,2.33201484416107,0.0196999102638745,NA
GPAA1,17.3323077903321,0.701128825061731,0.297250471211725,2.35871392298764,0.0183383867058054,0.999483955276918
GPATCH11,21.7348488227981,-0.764076861475716,0.307916001273429,-2.48144577844532,0.0130850616289935,0.999483955276918
GPBP1L1,53.591193060502,0.534757487929288,0.214709867186111,2.49060508926568,0.0127525776274661,0.999483955276918
GZF1,16.4171966534401,-1.27519079099182,0.354873522747456,-3.59336695823122,0.000326432357098912,0.257625079541848
H2BC20P,6.09672065108778,-1.43461613104126,0.51188534265376,-2.80261224828943,0.00506905732844967,NA
H3-2,9.34991355113969,-1.26492901221599,0.506182577278769,-2.49895802225401,0.0124559064613087,0.999483955276918
HARS2,17.1961666096664,0.81741054721164,0.318165506419326,2.56913628510796,0.0101952353019141,0.999483955276918
HAX1,24.4846395660621,0.743217213474082,0.246583587445881,3.01405791509623,0.00257778592266961,0.732382527148621
HGSNAT,26.9303947452698,-0.665905156662654,0.281692342831148,-2.36394482707615,0.0180815051609741,0.999483955276918
HINT3,21.9879312522173,-0.664006849586856,0.273175371816,-2.43069807198471,0.0150697666073294,0.999483955276918
HLA-F,91.7662093062658,0.542901918592299,0.230365710253702,2.35669587281197,0.0184383407270598,0.999483955276918
HLA-G,1.59049464861171,-2.91236209773958,1.22573892425182,-2.37600523253126,0.0175012146286981,NA
HNRNPH1,244.919938715601,0.76549659827538,0.287243655790383,2.6649730388963,0.00769944953273703,0.999483955276918
HOXC13-AS,1.22939948459721,-3.75979804435905,1.51183064738503,-2.48691746715299,0.0128855288556677,NA
HS3ST3B1,51.4851506688179,0.526038433449372,0.216630289930277,2.42827738271818,0.0151707354655763,0.999483955276918
HSF2,21.1134337296392,0.750124086598457,0.294016572684569,2.55129865554625,0.0107322315267408,0.999483955276918
HSPBAP1,10.4142466466563,0.990556228857717,0.367708696355995,2.69386130563177,0.00706295482706479,0.999483955276918
HTR1A,2.29158578176754,-2.97296694556205,1.08360728778857,-2.74358338031234,0.00607726123159123,NA
IFT22,10.1448776311315,-1.83024228756594,0.607384888734414,-3.01331548004025,0.00258410131877013,0.732382527148621
IGF2R,57.3525841899267,-0.572787654562215,0.185805036765512,-3.08273480920262,0.0020510784531339,0.681756064929876
ING1,16.1168744716677,0.722742283568013,0.269392579089448,2.68285891916881,0.00729957766890644,0.999483955276918
IPCEF1,112.9836354697,0.453736564769809,0.191801928673131,2.36565173201709,0.0179983664202866,0.999483955276918
